2	To
Y	Meaning Yawn
Y?	Why?
Y2K	You are too kind
YA	Your
YAA	Yet another acronym
YABA	Yet another bloody acronym
YARLY	Ya, really?
YBIC	Your brother in Christ
YBS	You will be sorry
YCDBWYCID	You ca not do business when your computer is down
YCHT	You can have them
YCLIU	You can look it up
YCMU	You crack me up
YCT	Your comment to?
YD	Yesterday
YF	Wife
YG	Young gentleman
YGG	You go girl
YGTBKM	You have got to be kidding me
YHBT	You have been trolled
YHBW	You have been warned
YHL	You have lost
YIU	Yes, I understand
YKW	You know what
YKWYCD	You know what you can do
YL	Young lady
YMMV	Your mileage may vary
YNK	You never know
YR	Your / Yeah right
YRYOCC	You are running your own cuckoo clock
YSIC	Your sister in Christ
YSYD	Yeah sure you do
YT	Are you there?
YTB	You are the best / Youth talk back
YTG	You are the greatest
YTTL	You take too long
YW	You are welcome
YWHNB	Yes, we have no bananas
YWHOL	Yelling “woohoo” out loud
YWSYLS	You win some, you lose some
YYSSW	Yeah, yeah, sure, sure, whatever
Z	Going to bed
ZH	Sleeping Hour
ZOT	Zero tolerance
